SampleId	SampleGroup	SampleName	DatasetName
SRR9264343	ETV6-RUNX1	ETV6-RUNX1_1	Caron
SRR9264344	ETV6-RUNX1	ETV6-RUNX1_2	Caron
SRR9264345	ETV6-RUNX1	ETV6-RUNX1_3	Caron
SRR9264346	ETV6-RUNX1	ETV6-RUNX1_4	Caron
SRR9264347	HHD	HHD_1	Caron
SRR9264348	HHD	HHD_2	Caron
SRR9264349	PRE-T	PRE-T_1	Caron
SRR9264350	PRE-T	PRE-T_2	Caron
SRR9264351	PBMMC	PBMMC_1	Caron
SRR9264352	PBMMC	PBMMC_1	Caron
SRR9264353	PBMMC	PBMMC_2	Caron
SRR9264354	PBMMC	PBMMC_3	Caron
MantonBM1	ABMMC	ABMMC_1	HCA
MantonBM2	ABMMC	ABMMC_2	HCA
MantonBM3	ABMMC	ABMMC_3	HCA
MantonBM4	ABMMC	ABMMC_4	HCA
MantonBM5	ABMMC	ABMMC_5	HCA
MantonBM6	ABMMC	ABMMC_6	HCA
MantonBM7	ABMMC	ABMMC_7	HCA
MantonBM8	ABMMC	ABMMC_8	HCA
